neighborhoodCrimeStatisticsID,neighborhood,ucrDescription,number,reportMonth,reportYear
131,Cooper,Auto Theft,0,8,2017
132,Cooper,Burglary,7,8,2017
133,Cooper,Homicide,0,8,2017
134,Cooper,Larceny,7,8,2017
135,Cooper,Rape,0,8,2017
136,Cooper,Robbery,0,8,2017
137,Corcoran,Aggravated Assault,0,8,2017
138,Corcoran,Arson,1,8,2017
139,Corcoran,Auto Theft,2,8,2017
140,Corcoran,Burglary,4,8,2017
141,Corcoran,Homicide,0,8,2017
142,Corcoran,Larceny,13,8,2017
143,Corcoran,Rape,0,8,2017
144,Corcoran,Robbery,1,8,2017
145,Diamond Lake,Aggravated Assault,0,8,2017
146,Diamond Lake,Arson,0,8,2017
147,Diamond Lake,Auto Theft,2,8,2017
148,Diamond Lake,Burglary,4,8,2017
149,Diamond Lake,Homicide,0,8,2017
150,Diamond Lake,Larceny,7,8,2017
151,Diamond Lake,Rape,0,8,2017
152,Diamond Lake,Robbery,0,8,2017
153,Downtown East,Aggravated Assault,0,8,2017
154,Downtown East,Arson,0,8,2017
155,Downtown East,Auto Theft,1,8,2017
156,Downtown East,Burglary,0,8,2017
157,Downtown East,Homicide,0,8,2017
158,Downtown East,Larceny,26,8,2017
159,Downtown East,Rape,0,8,2017
160,Downtown East,Robbery,0,8,2017
161,Downtown West,Aggravated Assault,22,8,2017
162,Downtown West,Arson,0,8,2017
163,Downtown West,Auto Theft,13,8,2017
164,Downtown West,Burglary,8,8,2017
165,Downtown West,Homicide,0,8,2017
166,Downtown West,Larceny,162,8,2017
167,Downtown West,Rape,2,8,2017
168,Downtown West,Robbery,36,8,2017
169,East Harriet,Aggravated Assault,0,8,2017
170,East Harriet,Arson,0,8,2017
171,East Harriet,Auto Theft,0,8,2017
172,East Harriet,Burglary,2,8,2017
173,East Harriet,Homicide,0,8,2017
174,East Harriet,Larceny,11,8,2017
175,East Harriet,Rape,0,8,2017
176,East Harriet,Robbery,0,8,2017
177,East Isles,Aggravated Assault,0,8,2017
178,East Isles,Arson,0,8,2017
179,East Isles,Auto Theft,2,8,2017
180,East Isles,Burglary,11,8,2017
181,East Isles,Homicide,0,8,2017
182,East Isles,Larceny,23,8,2017
183,East Isles,Rape,0,8,2017
184,East Isles,Robbery,0,8,2017
185,East Phillips,Aggravated Assault,5,8,2017
186,East Phillips,Arson,0,8,2017
187,East Phillips,Auto Theft,1,8,2017
188,East Phillips,Burglary,1,8,2017
189,East Phillips,Homicide,0,8,2017
190,East Phillips,Larceny,11,8,2017
191,East Phillips,Rape,0,8,2017
192,East Phillips,Robbery,9,8,2017
193,Ecco,Aggravated Assault,0,8,2017
194,Ecco,Arson,0,8,2017
195,Ecco,Auto Theft,1,8,2017
196,Ecco,Burglary,4,8,2017
197,Ecco,Homicide,0,8,2017
198,Ecco,Larceny,18,8,2017
199,Ecco,Rape,0,8,2017
200,Ecco,Robbery,0,8,2017
201,Elliot Park,Aggravated Assault,10,8,2017
202,Elliot Park,Arson,0,8,2017
203,Elliot Park,Auto Theft,6,8,2017
204,Elliot Park,Burglary,4,8,2017
205,Elliot Park,Homicide,0,8,2017
206,Elliot Park,Larceny,26,8,2017
207,Elliot Park,Rape,1,8,2017
208,Elliot Park,Robbery,4,8,2017
209,Ericsson,Aggravated Assault,0,8,2017
210,Ericsson,Arson,0,8,2017
211,Ericsson,Auto Theft,1,8,2017
212,Ericsson,Burglary,4,8,2017
213,Ericsson,Homicide,0,8,2017
214,Ericsson,Larceny,2,8,2017
215,Ericsson,Rape,0,8,2017
216,Ericsson,Robbery,0,8,2017
217,Field,Aggravated Assault,0,8,2017
218,Field,Arson,0,8,2017
219,Field,Auto Theft,1,8,2017
220,Field,Burglary,1,8,2017
221,Field,Homicide,0,8,2017
222,Field,Larceny,6,8,2017
223,Field,Rape,0,8,2017
224,Field,Robbery,0,8,2017
225,Folwell,Aggravated Assault,9,8,2017
226,Folwell,Arson,0,8,2017
227,Folwell,Auto Theft,4,8,2017
228,Folwell,Burglary,11,8,2017
229,Folwell,Homicide,1,8,2017
230,Folwell,Larceny,7,8,2017
231,Folwell,Rape,2,8,2017
232,Folwell,Robbery,5,8,2017
233,Fulton,Aggravated Assault,0,8,2017
234,Fulton,Arson,0,8,2017
235,Fulton,Auto Theft,1,8,2017
236,Fulton,Burglary,4,8,2017
237,Fulton,Homicide,0,8,2017
238,Fulton,Larceny,3,8,2017
239,Fulton,Rape,0,8,2017
240,Fulton,Robbery,0,8,2017
241,Hale,Aggravated Assault,0,8,2017
242,Hale,Arson,0,8,2017
243,Hale,Auto Theft,0,8,2017
244,Hale,Burglary,1,8,2017
245,Hale,Homicide,0,8,2017
246,Hale,Larceny,3,8,2017
247,Hale,Rape,0,8,2017
248,Hale,Robbery,0,8,2017
249,Harrison,Aggravated Assault,2,8,2017
250,Harrison,Arson,0,8,2017
251,Harrison,Auto Theft,3,8,2017
252,Harrison,Burglary,5,8,2017
253,Harrison,Homicide,0,8,2017
254,Harrison,Larceny,6,8,2017
255,Harrison,Rape,1,8,2017
256,Harrison,Robbery,0,8,2017
257,Hawthorne,Aggravated Assault,9,8,2017
258,Hawthorne,Arson,1,8,2017
259,Hawthorne,Auto Theft,8,8,2017
260,Hawthorne,Burglary,6,8,2017
261,Hawthorne,Homicide,0,8,2017
262,Hawthorne,Larceny,22,8,2017
263,Hawthorne,Rape,0,8,2017
264,Hawthorne,Robbery,2,8,2017
265,Hiawatha,Aggravated Assault,0,8,2017
266,Hiawatha,Arson,0,8,2017
267,Hiawatha,Auto Theft,3,8,2017
268,Hiawatha,Burglary,5,8,2017
269,Hiawatha,Homicide,0,8,2017
270,Hiawatha,Larceny,19,8,2017
271,Hiawatha,Rape,0,8,2017
272,Hiawatha,Robbery,2,8,2017
273,Holland,Aggravated Assault,1,8,2017
274,Holland,Arson,0,8,2017
275,Holland,Auto Theft,1,8,2017
276,Holland,Burglary,4,8,2017
277,Holland,Homicide,0,8,2017
278,Holland,Larceny,5,8,2017
279,Holland,Rape,0,8,2017
280,Holland,Robbery,4,8,2017
281,Howe,Aggravated Assault,1,8,2017
282,Howe,Arson,0,8,2017
283,Howe,Auto Theft,4,8,2017
284,Howe,Burglary,5,8,2017
285,Howe,Homicide,0,8,2017
286,Howe,Larceny,8,8,2017
287,Howe,Rape,0,8,2017
288,Howe,Robbery,0,8,2017
289,Humboldt Industrial Area,Aggravated Assault,0,8,2017
290,Humboldt Industrial Area,Arson,0,8,2017
291,Humboldt Industrial Area,Auto Theft,0,8,2017
292,Humboldt Industrial Area,Burglary,0,8,2017
293,Humboldt Industrial Area,Homicide,0,8,2017
294,Humboldt Industrial Area,Larceny,0,8,2017
295,Humboldt Industrial Area,Rape,0,8,2017
296,Humboldt Industrial Area,Robbery,0,8,2017
297,Jordan,Aggravated Assault,14,8,2017
298,Jordan,Arson,3,8,2017
299,Jordan,Auto Theft,9,8,2017
300,Jordan,Burglary,10,8,2017
301,Jordan,Homicide,0,8,2017
302,Jordan,Larceny,28,8,2017
303,Jordan,Rape,1,8,2017
304,Jordan,Robbery,8,8,2017
305,Keewaydin,Aggravated Assault,0,8,2017
306,Keewaydin,Arson,0,8,2017
307,Keewaydin,Auto Theft,1,8,2017
308,Keewaydin,Burglary,0,8,2017
309,Keewaydin,Homicide,0,8,2017
310,Keewaydin,Larceny,7,8,2017
311,Keewaydin,Rape,0,8,2017
312,Keewaydin,Robbery,0,8,2017
313,Kenny,Aggravated Assault,0,8,2017
314,Kenny,Arson,0,8,2017
315,Kenny,Auto Theft,1,8,2017
316,Kenny,Burglary,3,8,2017
317,Kenny,Homicide,0,8,2017
318,Kenny,Larceny,8,8,2017
319,Kenny,Rape,0,8,2017
320,Kenny,Robbery,0,8,2017
321,Kenwood,Aggravated Assault,1,8,2017
322,Kenwood,Arson,0,8,2017
323,Kenwood,Auto Theft,0,8,2017
324,Kenwood,Burglary,2,8,2017
325,Kenwood,Homicide,0,8,2017
326,Kenwood,Larceny,3,8,2017
327,Kenwood,Rape,0,8,2017
328,Kenwood,Robbery,1,8,2017
329,King Field,Aggravated Assault,1,8,2017
330,King Field,Arson,0,8,2017
331,King Field,Auto Theft,1,8,2017
332,King Field,Burglary,3,8,2017
333,King Field,Homicide,0,8,2017
334,King Field,Larceny,8,8,2017
335,King Field,Rape,1,8,2017
336,King Field,Robbery,0,8,2017
337,Lind - Bohanon,Aggravated Assault,4,8,2017
338,Lind - Bohanon,Arson,1,8,2017
339,Lind - Bohanon,Auto Theft,0,8,2017
340,Lind - Bohanon,Burglary,6,8,2017
341,Lind - Bohanon,Homicide,0,8,2017
342,Lind - Bohanon,Larceny,6,8,2017
343,Lind - Bohanon,Rape,1,8,2017
344,Lind - Bohanon,Robbery,0,8,2017
345,Linden Hills,Aggravated Assault,0,8,2017
346,Linden Hills,Arson,0,8,2017
347,Linden Hills,Auto Theft,1,8,2017
348,Linden Hills,Burglary,3,8,2017
349,Linden Hills,Homicide,0,8,2017
350,Linden Hills,Larceny,8,8,2017
351,Linden Hills,Rape,0,8,2017
352,Linden Hills,Robbery,0,8,2017
353,Logan Park,Aggravated Assault,2,8,2017
354,Logan Park,Arson,0,8,2017
355,Logan Park,Auto Theft,5,8,2017
356,Logan Park,Burglary,3,8,2017
357,Logan Park,Homicide,0,8,2017
358,Logan Park,Larceny,4,8,2017
359,Logan Park,Rape,0,8,2017
360,Logan Park,Robbery,0,8,2017
361,Longfellow,Aggravated Assault,1,8,2017
362,Longfellow,Arson,0,8,2017
363,Longfellow,Auto Theft,2,8,2017
364,Longfellow,Burglary,4,8,2017
365,Longfellow,Homicide,0,8,2017
366,Longfellow,Larceny,47,8,2017
367,Longfellow,Rape,1,8,2017
368,Longfellow,Robbery,2,8,2017
369,Loring Park,Aggravated Assault,3,8,2017
370,Loring Park,Arson,0,8,2017
371,Loring Park,Auto Theft,3,8,2017
372,Loring Park,Burglary,4,8,2017
373,Loring Park,Homicide,0,8,2017
374,Loring Park,Larceny,33,8,2017
375,Loring Park,Rape,1,8,2017
376,Loring Park,Robbery,7,8,2017
377,Lowry Hill,Aggravated Assault,0,8,2017
378,Lowry Hill,Arson,0,8,2017
379,Lowry Hill,Auto Theft,1,8,2017
380,Lowry Hill,Burglary,9,8,2017
381,Lowry Hill,Homicide,0,8,2017
382,Lowry Hill,Larceny,10,8,2017
383,Lowry Hill,Rape,0,8,2017
384,Lowry Hill,Robbery,0,8,2017
385,Lowry Hill East,Aggravated Assault,3,8,2017
386,Lowry Hill East,Arson,0,8,2017
387,Lowry Hill East,Auto Theft,3,8,2017
388,Lowry Hill East,Burglary,5,8,2017
389,Lowry Hill East,Homicide,0,8,2017
390,Lowry Hill East,Larceny,40,8,2017
391,Lowry Hill East,Rape,0,8,2017
392,Lowry Hill East,Robbery,2,8,2017
393,Lyndale,Aggravated Assault,5,8,2017
394,Lyndale,Arson,0,8,2017
395,Lyndale,Auto Theft,6,8,2017
396,Lyndale,Burglary,10,8,2017
397,Lyndale,Homicide,0,8,2017
398,Lyndale,Larceny,23,8,2017
399,Lyndale,Rape,0,8,2017
400,Lyndale,Robbery,5,8,2017
401,Lynnhurst,Aggravated Assault,0,8,2017
402,Lynnhurst,Arson,0,8,2017
403,Lynnhurst,Auto Theft,1,8,2017
404,Lynnhurst,Burglary,3,8,2017
405,Lynnhurst,Homicide,0,8,2017
406,Lynnhurst,Larceny,6,8,2017
407,Lynnhurst,Rape,1,8,2017
408,Lynnhurst,Robbery,0,8,2017
409,Marcy Holmes,Aggravated Assault,2,8,2017
410,Marcy Holmes,Arson,0,8,2017
411,Marcy Holmes,Auto Theft,11,8,2017
412,Marcy Holmes,Burglary,7,8,2017
413,Marcy Holmes,Homicide,0,8,2017
414,Marcy Holmes,Larceny,37,8,2017
415,Marcy Holmes,Rape,0,8,2017
416,Marcy Holmes,Robbery,3,8,2017
417,Marshall Terrace,Aggravated Assault,1,8,2017
418,Marshall Terrace,Arson,0,8,2017
419,Marshall Terrace,Auto Theft,2,8,2017
420,Marshall Terrace,Burglary,3,8,2017
421,Marshall Terrace,Homicide,0,8,2017
422,Marshall Terrace,Larceny,5,8,2017
423,Marshall Terrace,Rape,0,8,2017
424,Marshall Terrace,Robbery,0,8,2017
425,McKinley,Aggravated Assault,3,8,2017
426,McKinley,Arson,0,8,2017
427,McKinley,Auto Theft,3,8,2017
428,McKinley,Burglary,6,8,2017
429,McKinley,Homicide,0,8,2017
430,McKinley,Larceny,6,8,2017
431,McKinley,Rape,0,8,2017
432,McKinley,Robbery,0,8,2017
433,Mid - City Industrial,Aggravated Assault,0,8,2017
434,Mid - City Industrial,Arson,0,8,2017
435,Mid - City Industrial,Auto Theft,0,8,2017
436,Mid - City Industrial,Burglary,6,8,2017
437,Mid - City Industrial,Homicide,0,8,2017
438,Mid - City Industrial,Larceny,3,8,2017
439,Mid - City Industrial,Rape,0,8,2017
440,Mid - City Industrial,Robbery,0,8,2017
441,Midtown Phillips,Aggravated Assault,5,8,2017
442,Midtown Phillips,Arson,0,8,2017
443,Midtown Phillips,Auto Theft,1,8,2017
444,Midtown Phillips,Burglary,6,8,2017
445,Midtown Phillips,Homicide,0,8,2017
446,Midtown Phillips,Larceny,17,8,2017
447,Midtown Phillips,Rape,1,8,2017
448,Midtown Phillips,Robbery,5,8,2017
449,Minnehaha,Aggravated Assault,1,8,2017
450,Minnehaha,Arson,0,8,2017
451,Minnehaha,Auto Theft,0,8,2017
452,Minnehaha,Burglary,1,8,2017
453,Minnehaha,Homicide,0,8,2017
454,Minnehaha,Larceny,8,8,2017
455,Minnehaha,Rape,0,8,2017
456,Minnehaha,Robbery,1,8,2017
457,Morris Park,Aggravated Assault,0,8,2017
458,Morris Park,Arson,0,8,2017
459,Morris Park,Auto Theft,0,8,2017
460,Morris Park,Burglary,1,8,2017
461,Morris Park,Homicide,0,8,2017
462,Morris Park,Larceny,2,8,2017
463,Morris Park,Rape,0,8,2017
464,Morris Park,Robbery,0,8,2017
465,Near - North,Aggravated Assault,8,8,2017
466,Near - North,Arson,0,8,2017
467,Near - North,Auto Theft,2,8,2017
468,Near - North,Burglary,14,8,2017
469,Near - North,Homicide,1,8,2017
470,Near - North,Larceny,44,8,2017
471,Near - North,Rape,1,8,2017
472,Near - North,Robbery,5,8,2017
473,Nicollet Island - East Bank,Aggravated Assault,0,8,2017
474,Nicollet Island - East Bank,Arson,0,8,2017
475,Nicollet Island - East Bank,Auto Theft,1,8,2017
476,Nicollet Island - East Bank,Burglary,1,8,2017
477,Nicollet Island - East Bank,Homicide,0,8,2017
478,Nicollet Island - East Bank,Larceny,6,8,2017
479,Nicollet Island - East Bank,Rape,0,8,2017
480,Nicollet Island - East Bank,Robbery,1,8,2017
481,North Loop,Aggravated Assault,1,8,2017
482,North Loop,Arson,0,8,2017
483,North Loop,Auto Theft,0,8,2017
484,North Loop,Burglary,5,8,2017
485,North Loop,Homicide,0,8,2017
486,North Loop,Larceny,50,8,2017
487,North Loop,Rape,0,8,2017
488,North Loop,Robbery,5,8,2017
489,Northeast Park,Aggravated Assault,0,8,2017
490,Northeast Park,Arson,0,8,2017
491,Northeast Park,Auto Theft,0,8,2017
492,Northeast Park,Burglary,0,8,2017
493,Northeast Park,Homicide,0,8,2017
494,Northeast Park,Larceny,11,8,2017
495,Northeast Park,Rape,0,8,2017
496,Northeast Park,Robbery,0,8,2017
497,Northrop,Aggravated Assault,1,8,2017
498,Northrop,Arson,0,8,2017
499,Northrop,Auto Theft,3,8,2017
500,Northrop,Burglary,6,8,2017
501,Northrop,Homicide,0,8,2017
502,Northrop,Larceny,6,8,2017
503,Northrop,Rape,0,8,2017
504,Northrop,Robbery,1,8,2017
505,Page,Aggravated Assault,0,8,2017
506,Page,Arson,0,8,2017
507,Page,Auto Theft,1,8,2017
508,Page,Burglary,3,8,2017
509,Page,Homicide,0,8,2017
510,Page,Larceny,1,8,2017
511,Page,Rape,0,8,2017
512,Page,Robbery,0,8,2017
513,Phillips West,Aggravated Assault,5,8,2017
514,Phillips West,Arson,0,8,2017
515,Phillips West,Auto Theft,4,8,2017
516,Phillips West,Burglary,8,8,2017
517,Phillips West,Homicide,0,8,2017
518,Phillips West,Larceny,17,8,2017
519,Phillips West,Rape,0,8,2017
520,Phillips West,Robbery,2,8,2017
521,Powderhorn Park,Aggravated Assault,6,8,2017
522,Powderhorn Park,Arson,0,8,2017
523,Powderhorn Park,Auto Theft,3,8,2017
524,Powderhorn Park,Burglary,15,8,2017
525,Powderhorn Park,Homicide,0,8,2017
526,Powderhorn Park,Larceny,22,8,2017
527,Powderhorn Park,Rape,2,8,2017
528,Powderhorn Park,Robbery,2,8,2017
529,Prospect Park - East River Road,Aggravated Assault,0,8,2017
530,Prospect Park - East River Road,Arson,0,8,2017
531,Prospect Park - East River Road,Auto Theft,1,8,2017
532,Prospect Park - East River Road,Burglary,6,8,2017
533,Prospect Park - East River Road,Homicide,0,8,2017
534,Prospect Park - East River Road,Larceny,27,8,2017
535,Prospect Park - East River Road,Rape,3,8,2017
536,Prospect Park - East River Road,Robbery,3,8,2017
537,Regina,Aggravated Assault,1,8,2017
538,Regina,Arson,0,8,2017
539,Regina,Auto Theft,0,8,2017
540,Regina,Burglary,2,8,2017
541,Regina,Homicide,0,8,2017
542,Regina,Larceny,2,8,2017
543,Regina,Rape,0,8,2017
544,Regina,Robbery,1,8,2017
545,Seward,Aggravated Assault,5,8,2017
546,Seward,Arson,0,8,2017
547,Seward,Auto Theft,3,8,2017
548,Seward,Burglary,11,8,2017
549,Seward,Homicide,0,8,2017
550,Seward,Larceny,25,8,2017
551,Seward,Rape,0,8,2017
552,Seward,Robbery,4,8,2017
553,Sheridan,Aggravated Assault,1,8,2017
554,Sheridan,Arson,0,8,2017
555,Sheridan,Auto Theft,3,8,2017
556,Sheridan,Burglary,5,8,2017
557,Sheridan,Homicide,0,8,2017
558,Sheridan,Larceny,11,8,2017
559,Sheridan,Rape,0,8,2017
560,Sheridan,Robbery,0,8,2017
561,Shingle Creek,Aggravated Assault,0,8,2017
562,Shingle Creek,Arson,0,8,2017
563,Shingle Creek,Auto Theft,0,8,2017
564,Shingle Creek,Burglary,6,8,2017
565,Shingle Creek,Homicide,0,8,2017
566,Shingle Creek,Larceny,5,8,2017
567,Shingle Creek,Rape,0,8,2017
568,Shingle Creek,Robbery,1,8,2017
569,St. Anthony East,Aggravated Assault,1,8,2017
570,St. Anthony East,Arson,0,8,2017
571,St. Anthony East,Auto Theft,1,8,2017
572,St. Anthony East,Burglary,2,8,2017
573,St. Anthony East,Homicide,0,8,2017
574,St. Anthony East,Larceny,3,8,2017
575,St. Anthony East,Rape,0,8,2017
576,St. Anthony East,Robbery,0,8,2017
577,St. Anthony West,Aggravated Assault,0,8,2017
578,St. Anthony West,Arson,0,8,2017
579,St. Anthony West,Auto Theft,0,8,2017
580,St. Anthony West,Burglary,3,8,2017
581,St. Anthony West,Homicide,0,8,2017
582,St. Anthony West,Larceny,2,8,2017
583,St. Anthony West,Rape,1,8,2017
584,St. Anthony West,Robbery,0,8,2017
585,Standish,Aggravated Assault,0,8,2017
586,Standish,Arson,0,8,2017
587,Standish,Auto Theft,3,8,2017
588,Standish,Burglary,13,8,2017
589,Standish,Homicide,0,8,2017
590,Standish,Larceny,13,8,2017
591,Standish,Rape,1,8,2017
592,Standish,Robbery,2,8,2017
593,Stevens Square - Loring Heights,Aggravated Assault,2,8,2017
594,Stevens Square - Loring Heights,Arson,0,8,2017
595,Stevens Square - Loring Heights,Auto Theft,3,8,2017
596,Stevens Square - Loring Heights,Burglary,1,8,2017
597,Stevens Square - Loring Heights,Homicide,0,8,2017
598,Stevens Square - Loring Heights,Larceny,12,8,2017
599,Stevens Square - Loring Heights,Rape,1,8,2017
600,Stevens Square - Loring Heights,Robbery,3,8,2017
601,Sumner - Glenwood,Aggravated Assault,1,8,2017
602,Sumner - Glenwood,Arson,0,8,2017
603,Sumner - Glenwood,Auto Theft,3,8,2017
604,Sumner - Glenwood,Burglary,0,8,2017
605,Sumner - Glenwood,Homicide,0,8,2017
606,Sumner - Glenwood,Larceny,6,8,2017
607,Sumner - Glenwood,Rape,0,8,2017
608,Sumner - Glenwood,Robbery,0,8,2017
609,Tangletown,Aggravated Assault,1,8,2017
610,Tangletown,Arson,0,8,2017
611,Tangletown,Auto Theft,3,8,2017
612,Tangletown,Burglary,8,8,2017
613,Tangletown,Homicide,0,8,2017
614,Tangletown,Larceny,7,8,2017
615,Tangletown,Rape,0,8,2017
616,Tangletown,Robbery,0,8,2017
617,University Of Minnesota,Aggravated Assault,0,8,2017
618,University Of Minnesota,Arson,0,8,2017
619,University Of Minnesota,Auto Theft,6,8,2017
620,University Of Minnesota,Burglary,3,8,2017
621,University Of Minnesota,Homicide,0,8,2017
622,University Of Minnesota,Larceny,35,8,2017
623,University Of Minnesota,Rape,0,8,2017
624,University Of Minnesota,Robbery,3,8,2017
625,Ventura Village,Aggravated Assault,8,8,2017
626,Ventura Village,Arson,1,8,2017
627,Ventura Village,Auto Theft,6,8,2017
628,Ventura Village,Burglary,3,8,2017
629,Ventura Village,Homicide,0,8,2017
630,Ventura Village,Larceny,9,8,2017
631,Ventura Village,Rape,1,8,2017
632,Ventura Village,Robbery,3,8,2017
633,Victory,Aggravated Assault,1,8,2017
634,Victory,Arson,0,8,2017
635,Victory,Auto Theft,0,8,2017
636,Victory,Burglary,9,8,2017
637,Victory,Homicide,0,8,2017
638,Victory,Larceny,3,8,2017
639,Victory,Rape,0,8,2017
640,Victory,Robbery,0,8,2017
641,Waite Park,Aggravated Assault,1,8,2017
642,Waite Park,Arson,0,8,2017
643,Waite Park,Auto Theft,0,8,2017
644,Waite Park,Burglary,5,8,2017
645,Waite Park,Homicide,0,8,2017
646,Waite Park,Larceny,5,8,2017
647,Waite Park,Rape,0,8,2017
648,Waite Park,Robbery,0,8,2017
649,Webber - Camden,Aggravated Assault,6,8,2017
650,Webber - Camden,Arson,0,8,2017
651,Webber - Camden,Auto Theft,3,8,2017
652,Webber - Camden,Burglary,10,8,2017
653,Webber - Camden,Homicide,0,8,2017
654,Webber - Camden,Larceny,13,8,2017
655,Webber - Camden,Rape,0,8,2017
656,Webber - Camden,Robbery,2,8,2017
